CSA,Population,Median_Income,Unemployed,Families_in_Poverty,Bachelors_degree,Juvenile_Arrest_Rate,Homicide_Incidence_Rate,Life_Expectancy,Top_causes_of_death
North Baltimore/Guilford/Homeland,17472,75248,0.05,0.03,0.73,38.5,3.4,81.1,"Heart Disease, Cancer, Stroke, Respiratory Disease"
Northwood,16635,50512,0.12,0.06,0.26,81.4,8.4,75.4,"Heart Disease, Cancer, Stroke, Septicemia (Blood Poisoning)"
Orangeville/East Highlandtown,9131,38467,0.13,0.18,0.18,172,13.1,71,"Heart Disease, Cancer, Stroke, Respiratory Disease"
Patterson Park North & East,14549,44252,0.11,0.16,0.22,205.4,20.6,70.1,"Heart Disease, Cancer, Homicide, HIV/AIDS"
Penn North/Reservoir Hill,9665,30597,0.19,0.17,0.16,180.2,27.9,68.1,"Heart Disease, Cancer, HIV/AIDS, Diabetes"
Perkins/Middle East,4587,18522,0.18,0.28,0.17,337.1,61,68.2,"Heart Disease, Cancer, HIV/AIDS, Homicide"
Pimlico/Arlington/Hilltop,11816,29031,0.17,0.21,0.07,184.2,27.9,66.8,"Heart Disease, Cancer, HIV/AIDS, Stroke"
Poppleton/The Terraces/Hollins Market,5086,25167,0.11,0.19,0.15,155.6,29.5,64,"Heart Disease, Cancer, HIV/AIDS, Stroke"
Sandtown-Winchester/Harlem Park,14801,22277,0.21,0.31,0.06,252.3,45.3,65.3,"Heart Disease, Cancer, Homicide, HIV/AIDS"
South Baltimore,6406,69625,0.05,0.09,0.46,102.1,0,73.3,"Heart Disease, Cancer, Respiratory Disease, Diabetes"
Southeastern,6260,28912,0.09,0.2,0.07,138.5,19.2,71.1,"Heart Disease, Cancer, Respiratory Disease, Septicemia (Blood Poisoning)"
Southern Park Heights,13284,27635,0.18,0.26,0.05,215,43.7,66.7,"Heart Disease, Cancer, Homicide, HIV/AIDS"
Southwest Baltimore,17886,27158,0.2,0.26,0.1,250,44.2,65,"Heart Disease, Cancer, Drug-induced Deaths, Homicide"
The Waverlies,7774,33239,0.13,0.24,0.21,163.1,21.9,72.1,"Heart Disease, Cancer, HIV/AIDS, Stroke"
Upton/Druid Heights,9755,13388,0.18,0.49,0.11,340,37.9,62.9,"Heart Disease, Cancer, HIV/AIDS, Homicide"
Washington Village,5503,42504,0.12,0.21,0.41,204.5,23.6,68.6,"Heart Disease, Cancer, Respiratory Disease, Septicemia (Blood Poisoning)"
Westport/Mt. Winans/Lakeland,7119,37678,0.15,0.12,0.06,127.6,26.7,68.8,"Heart Disease, Cancer, Stroke, Homicide"
